approach,dataset,depth,obs_count,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_solv_time,std_solve_time,mean_gap,std_gap,mean_tdr,std_tdr,mean_fdr,std_fdr,mean_train_cart,mean_test_cart,features,enc_features
BendersOCT,synthetic100_100_2.csv,2,75.0,1.0,0.0,1.0,0.0,11.953634262084961,8.861349477607165,0.0,0.0,0.0,0.0,1.0,0.0,0.9133333333333333,0.76,100.0,168.0
BendersOCT,synthetic100_100_3.csv,3,75.0,0.9333333333333333,0.01885618083164123,0.76,0.0565685424949238,600.0333152413368,0.008216296174308378,100.0,0.0,0.5357142857142857,0.07142857142857145,0.46428571428571425,0.07142857142857145,0.8733333333333333,0.74,100.0,168.0
BendersOCT,synthetic100_100_4.csv,4,75.0,0.9866666666666667,0.01885618083164129,0.73,0.05033222956847168,303.674014210701,342.2905816354327,50.0,57.73502691896258,0.825,0.11902380714238081,0.14583333333333331,0.10485881160098261,0.97,0.76,100.0,168.0
BendersOCT,synthetic100_100_5.csv,5,75.0,0.9966666666666667,0.00666666666666659,0.5,0.09521904571390469,197.28207230567932,282.8708076881489,25.0,49.99999999999999,0.7782051282051282,0.1125579695776819,0.19999999999999998,0.05443310539518172,0.99,0.52,100.0,168.0
BendersOCT,synthetic100_10_2.csv,2,75.0,1.0,0.0,1.0,0.0,0.404898703098297,0.22450982604588163,0.0,0.0,0.0,0.0,1.0,0.0,0.97,0.95,10.0,18.0
BendersOCT,synthetic100_10_3.csv,3,75.0,1.0,0.0,1.0,0.0,20.542038559913635,26.284337184044823,0.0,0.0,0.0714285714285714,0.08247860988423221,1.0,0.0,0.9433333333333334,0.9,10.0,18.0
BendersOCT,synthetic100_10_4.csv,4,75.0,0.99,0.006666666666666599,0.9099999999999999,0.08246211251235325,451.49764335155487,297.0619740265863,74.99999999999999,49.99999999999999,0.33928571428571425,0.011904761904761899,0.6964285714285714,0.03571428571428571,0.9333333333333332,0.79,10.0,18.0
BendersOCT,synthetic100_10_5.csv,5,75.0,1.0,0.0,0.85,0.0503322295684717,71.41460663080215,42.26729098110255,0.0,0.0,0.5035866910866911,0.058388447226816666,0.7941176470588235,0.07594084992563559,0.9133333333333333,0.73,10.0,18.0
BendersOCT,synthetic100_30_2.csv,2,75.0,1.0,0.0,1.0,0.0,3.945550560951233,2.6180815611542965,0.0,0.0,0.0,0.0,1.0,0.0,0.8566666666666667,0.78,30.0,50.0
BendersOCT,synthetic100_30_3.csv,3,75.0,1.0,0.0,1.0,0.0,171.17005825042725,237.02277634723677,0.0,0.0,0.0,0.0,1.0,0.0,0.8833333333333332,0.6799999999999999,30.0,50.0
BendersOCT,synthetic100_30_4.csv,4,75.0,0.9800000000000001,0.023094010767585053,0.73,0.13999999999999996,466.6366212964058,168.41679862285199,50.0,57.73502691896258,0.5738095238095238,0.15867459344897675,0.5208333333333334,0.18477964855069545,0.8800000000000001,0.56,30.0,50.0
BendersOCT,synthetic100_30_5.csv,5,75.0,0.99,0.012765694770084499,0.6699999999999999,0.11489125293076059,331.0224720835686,312.45853370052316,50.0,57.73502691896257,0.7020547521937955,0.06890823953348187,0.546875,0.13858473641302158,0.9566666666666667,0.76,30.0,50.0
BendersOCT,synthetic2500_100_2.csv,2,1875.0,0.9474666666666668,0.06068527187235977,0.9544,0.05291301037237124,497.3122687935829,172.52478842566083,50.0,57.73502691896258,0.08333333333333333,0.16666666666666666,0.9166666666666666,0.16666666666666669,0.8969333333333334,0.9028,100.0,168.0
BendersOCT,synthetic2500_100_3.csv,3,1875.0,0.8105333333333334,0.004230401434414504,0.8084,0.012691204303243487,600.1872354149818,0.1298444038107709,100.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.8105333333333334,0.8084,100.0,168.0
BendersOCT,synthetic2500_100_4.csv,4,1875.0,0.7048,0.11143604044971771,0.6908,0.12382094599326343,600.2261670827866,0.14645509089770972,100.0,0.0,0.925,0.06871842709362767,0.06666666666666662,0.05443310539518172,0.8996000000000001,0.8852,100.0,168.0
BendersOCT,synthetic2500_100_5.csv,5,1875.0,0.6632888888888889,0.0465234628181586,0.6624,0.0361684945774634,600.3418042063713,0.1914720632935983,,0.0,0.9201228878648233,0.05687713849945815,0.07526881720430104,0.04927500747264345,0.8594666666666665,0.8408,100.0,168.0
